dataset,fbg,impact_id,start_time,peak_time,end_time,duration,num_samples,sampling_frequency_hz,wavelet,decomposition_level,wavelet_energy,approximation_energy,detail_energy,wavelet_entropy
expert9,FBG2,expert9-FBG2-027,44.419555,44.87955,45.079548,0.659993,34,50.00000000000995,db4,3,0.0698972236210843,0.06989540039852009,1.8232225642203415e-06,0.0004529975604545913
expert9,FBG2,expert9-FBG2-028,45.519544,46.559534,46.759531,1.2399869999999993,63,50.00000000000995,db4,3,0.151267866386276,0.1512464091623878,2.1457223888220722e-05,0.002154980461009295
expert9,FBG2,expert9-FBG2-029,46.91953,47.459525,48.039519,1.1199889999999968,57,50.00000000000995,db4,3,0.14031306492641857,0.14030265931523475,1.0405611183803738e-05,0.0011672082858149627
expert9,FBG2,expert9-FBG2-030,48.319516,48.979509,49.8595,1.539983999999997,78,49.999999999992184,db4,3,0.16370743828936837,0.16369015440841406,1.7283880954327032e-05,0.0016405042905417145
expert9,FBG2,expert9-FBG2-031,50.179497,51.619483,52.519474,2.3399770000000046,118,49.999999999992184,db4,3,0.2178951952337098,0.21786999546841607,2.519976529373313e-05,0.0018044196928695853
expert9,FBG2,expert9-FBG2-032,52.739472,52.93947,54.259457,1.5199849999999984,77,49.999999999992184,db4,3,0.166077032117655,0.16606417959736147,1.2852520293524491e-05,0.001249849887025454
expert9,FBG2,expert9-FBG2-033,54.91945,55.119448,55.319446,0.3999960000000016,21,49.999999999992184,db4,3,0.03910058687211554,0.039100288775664814,2.9809645072685537e-07,0.0001406120519842728
expert9,FBG2,expert9-FBG2-034,55.519444,55.799441,56.379436,0.8599919999999983,44,49.999999999992184,db4,3,0.08757674511873521,0.08757273698141015,4.008137325071652e-06,0.0007629069093167617
expert9,FBG2,expert9-FBG2-035,56.619433,57.539424,58.199417,1.579983999999996,80,50.00000000000995,db4,3,0.1793175114377338,0.17928409774140053,3.341369633326611e-05,0.0026832417865430415
expert9,FBG2,expert9-FBG2-036,58.89941,59.099408,59.539403,0.6399929999999969,33,50.00000000000995,db4,3,0.07217517834694448,0.07217381521697355,1.363129970932187e-06,0.0003414818447499558
